trial_index,time_elapsed,rt,response,avg_frame_time,center_x,center_y,note,correct
233,274339,[415],"[""s""]",16.66686441,250,150,100,TRUE
234,275340,"[369,387,409]","[""s"",""f"",""d""]",16.66695,250,150,111,TRUE
235,276349,"[489,507,507]","[""f"",""a"",""d""]",16.66828814,250,150,1011,TRUE
236,277356,[384],"[""s""]",16.66755,250,150,100,TRUE
237,278364,"[433,449]","[""s"",""a""]",16.66525424,250,150,1100,TRUE
238,279372,"[465,483,483]","[""a"",""d"",""f""]",16.66727119,250,150,1010,FALSE
239,280373,"[459,480]","[""d"",""s""]",16.66873333,250,150,110,TRUE
240,281380,"[458,505,505]","[""a"",""s"",""d""]",16.66801695,250,150,1110,TRUE
241,282388,"[537,537]","[""a"",""f""]",16.66754237,250,150,1001,TRUE
242,283389,"[522,544]","[""a"",""d""]",16.66648333,250,150,1010,TRUE
243,284396,"[471,488]","[""s"",""a""]",16.66823729,250,150,1100,TRUE
244,285404,"[465,465,489]","[""d"",""f"",""s""]",16.66669492,250,150,111,TRUE
245,286406,[456],"[""a""]",16.66696667,250,150,1000,TRUE
246,287412,"[529,529,614]","[""a"",""d"",""f""]",16.66681356,250,150,1011,TRUE
247,288420,"[609,632,650]","[""f"",""s"",""d""]",16.66713559,250,150,111,TRUE
248,289423,"[527,552,552]","[""d"",""a"",""f""]",16.66891667,250,150,1011,TRUE
249,290428,[465],"[""s""]",16.66677966,250,150,100,TRUE
250,292698,2270,0,,,,,
251,293700,[],[],16.6669322,250,150,0,
252,294706,"[501,501]","[""a"",""f""]",16.667,250,150,1001,TRUE
253,295708,"[471,471,495]","[""a"",""f"",""d""]",16.66762712,250,150,1010,FALSE
254,296715,"[453,453,517]","[""s"",""d"",""a""]",16.66688136,250,150,1110,TRUE
255,297722,"[657,681,721]","[""s"",""a"",""f""]",16.66608333,250,150,1101,TRUE
256,298725,[601],"[""a""]",16.6669322,250,150,1000,TRUE
257,299732,"[424,446,470]","[""s"",""a"",""d""]",16.66677966,250,150,1110,TRUE
258,300739,"[497,514,560]","[""d"",""a"",""f""]",16.66716667,250,150,1011,TRUE
259,301749,[464],"[""s""]",16.6669322,250,150,100,TRUE
260,302755,"[392,415]","[""a"",""s""]",16.66732203,250,150,1000,FALSE
261,303756,"[369,408]","[""f"",""d""]",16.66685,250,150,11,TRUE
262,304764,"[441,441]","[""a"",""d""]",16.66715254,250,150,1010,TRUE
263,305772,[392],"[""s""]",16.66886441,250,150,100,TRUE
